_redis_id,_validation,bottle_distance_to_filler_value,bottle_level_value,conveyor_belt_engine_state,plc1_mode,plc2_mode,supply_pressure,tank_input_flow_value,tank_input_valve_position,tank_input_valve_state,tank_level_value,tank_output_flow_value,tank_output_valve_position,tank_output_valve_state,tank_pressure,timestamp,timestamp_iso,timestamp_unix_ms
1780441558667-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",66.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,447.50000000000796,0.0,0.0,0.0,0.04385500000000078,1780441558.6674035,2026-06-02 23:05:58,1780441558667.0
1780441558869-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",66.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,447.50000000000796,0.0,0.0,0.0,0.04385500000000078,1780441558.8691833,2026-06-02 23:05:58,1780441558869.0
1780441559071-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",66.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,447.50000000000796,0.0,0.0,0.0,0.04385500000000078,1780441559.0708506,2026-06-02 23:05:59,1780441559070.0
1780441559272-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",62.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,447.50000000000796,0.0,0.0,0.0,0.04385500000000078,1780441559.2723167,2026-06-02 23:05:59,1780441559272.0
1780441559474-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",62.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,447.50000000000796,0.0,0.0,0.0,0.04385500000000078,1780441559.4742064,2026-06-02 23:05:59,1780441559474.0
1780441559675-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",62.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,447.50000000000796,0.0,0.0,0.0,0.04385500000000078,1780441559.6754687,2026-06-02 23:05:59,1780441559675.0
1780441559877-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",58.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,447.50000000000796,0.0,0.0,0.0,0.04385500000000078,1780441559.8775592,2026-06-02 23:05:59,1780441559877.0
1780441560079-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",58.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,447.50000000000796,0.0,0.0,0.0,0.04385500000000078,1780441560.079271,2026-06-02 23:06:00,1780441560079.0
1780441560280-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",58.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,447.50000000000796,0.0,0.0,0.0,0.04385500000000078,1780441560.280747,2026-06-02 23:06:00,1780441560280.0
1780441560483-0,"{""valid"": true, ""error_count"": 0, ""schema_version"": ""1.0""}",54.0,0.0,1.0,1.0,1.0,2.5,0.0,0.0,0.0,447.50000000000796,0.0,0.0,0.0,0.04385500000000078,1780441560.4827888,2026-06-02 23:06:00,1780441560482.0
